1,Synopsis
1.1,Setting
1.2,Plot
2,Production
2.1,Development
2.2,Conclusion
2.3,Themes and analysis
3,Publication
3.1,Main series
3.2,Spin-offs
4,Related media
4.1,Anime
4.1.1,OVAs and ONAs
4.1.2,International release
4.1.3,Music
4.2,Light novels
4.3,Theatrical films
4.3.1,Anime
4.3.2,Live-action
4.4,Video games
4.4.1,Console games
4.4.2,Mobile games
4.4.3,Crossovers
4.5,Stage plays
4.6,Art and guidebooks
4.7,Other media
5,Reception
5.1,Popularity
5.2,Manga
5.2.1,Sales
5.2.2,Critical response
5.2.3,Accolades
5.3,Anime
5.3.1,Sales
5.3.2,Critical reception
5.3.3,Accolades
5.4,Unit 731 controversy
6,Notes
7,References
8,External links
